4.48	4.58	PITCH
7.33	7.43	PITCH
36.29	36.39	PITCH
38.37	38.47	PITCH
42.11	42.21	PITCH
54.629999999999995	54.73	PITCH
66.92	67.02	PITCH
66.97	67.07	PITCH
79.49000000000001	79.59	PITCH
81.76	81.86	PITCH
86.48	86.58	PITCH
110.52000000000001	110.62	PITCH
128.74	128.84	PITCH
131.94	132.04	PITCH
149.97	150.07	PITCH
150.03	150.13	PITCH
164.63	164.73	PITCH
201.92000000000002	202.02	PITCH
255.65	255.75	PITCH
321.96	322.06	PITCH
445.10999999999996	445.21	PITCH
445.14	445.24	PITCH
445.16999999999996	445.27	PITCH
452.42999999999995	452.53	PITCH
467.98999999999995	468.09	PITCH
483.54999999999995	483.65	PITCH
504.54999999999995	504.65	PITCH
507.62	507.72	PITCH
543.42	543.52	PITCH
558.06	558.16	PITCH
571.05	571.15	PITCH
574.99	575.09	PITCH
584.6899999999999	584.79	PITCH
590.3199999999999	590.42	PITCH
599.38	599.48	PITCH
600.87	600.97	PITCH
613.05	613.15	PITCH
630.79	630.89	PITCH
634.34	634.44	PITCH
646.03	646.13	PITCH
649.53	649.63	PITCH
658.36	658.46	PITCH
700.03	700.13	PITCH
702.15	702.25	PITCH
703.48	703.58	PITCH
721.06	721.16	PITCH
725.15	725.25	PITCH
732.02	732.12	PITCH
743.7099999999999	743.81	PITCH
744.75	744.85	PITCH
773.56	773.66	PITCH
805.01	805.11	PITCH
811.99	812.09	PITCH
836.11	836.21	PITCH
879.04	879.14	PITCH
879.35	879.45	PITCH
881.06	881.16	PITCH
882.02	882.12	PITCH
947.41	947.51	PITCH
969.63	969.73	PITCH
971.03	971.13	PITCH
983.5	983.6	PITCH
994.4	994.5	PITCH
1009.51	1009.61	PITCH
1018.91	1019.01	PITCH
1039.43	1039.53	PITCH
1058.8000000000002	1058.9	PITCH
1058.8500000000001	1058.95	PITCH
1063.65	1063.75	PITCH
1067.3000000000002	1067.4	PITCH
1090.17	1090.27	PITCH
1098.94	1099.04	PITCH
1123.26	1123.36	PITCH
1123.2900000000002	1123.39	PITCH
1149.14	1149.24	PITCH
1178.01	1178.11	PITCH
1178.3500000000001	1178.45	PITCH
1204.01	1204.11	PITCH
1204.0500000000002	1204.15	PITCH
1217.49	1217.59	PITCH
1227.9	1228.0	PITCH
1240.19	1240.29	PITCH
1249.45	1249.55	PITCH
1276.1000000000001	1276.2	PITCH
1325.5500000000002	1325.65	PITCH
1386.25	1386.35	PITCH
1389.2900000000002	1389.39	PITCH
1429.77	1429.87	PITCH
