24.992	27.024	FEE016
28.56	30.59	FEE016
31.28	33.48	FEE016
42.017	43.386	FEE016
49.613	53.228	FEE016
306.208	307.248	FEE016
315.593	316.535	FEE016
317.872	318.896	FEE016
344.616	345.49	FEE016
356.257	359.11	FEE016
359.11	362.224	FEE016
376.784	378.94	FEE016
390.818	391.776	FEE016
403.097	403.707	FEE016
421.182	422.34	FEE016
440.149	442.369	FEE016
443.136	447.95	FEE016
447.95	450.928	FEE016
453.968	456.46	FEE016
456.46	457.059	FEE016
457.872	460.64	FEE016
465.36	468.51	FEE016
468.51	470.88	FEE016
474.384	478.11	FEE016
478.11	479.472	FEE016
481.018	484.848	FEE016
486.928	487.747	FEE016
488.752	491.648	FEE016
492.88	497.78	FEE016
497.78	506.56	FEE016
506.56	508.09	FEE016
508.09	511.49	FEE016
511.49	516.12	FEE016
516.12	518.752	FEE016
520.256	524.93	FEE016
524.93	526.24	FEE016
526.24	526.91	FEE016
526.91	529.2	FEE016
529.2	536.8	FEE016
541.12	547.15	FEE016
547.15	549.664	FEE016
553.476	556.832	FEE016
558.528	559.51	FEE016
576.323	577.554	FEE016
584.698	586.17	FEE016
588.24	589.55	FEE016
589.55	591.74	FEE016
591.74	592.368	FEE016
593.792	594.517	FEE016
603.488	604.316	FEE016
605.824	606.223	FEE016
608.016	610.65	FEE016
610.65	614.106	FEE016
622	622.416	FEE016
623.824	624.288	FEE016
630.352	631.248	FEE016
635.408	635.936	FEE016
638	648.23	FEE016
648.23	651.11	FEE016
651.11	651.52	FEE016
653.072	655.552	FEE016
661.776	662.272	FEE016
666.576	666.976	FEE016
691.104	692.011	FEE016
700.979	701.878	FEE016
707.968	708.672	FEE016
711.856	712.92	FEE016
712.92	717.17	FEE016
717.17	722.44	FEE016
722.44	725.99	FEE016
725.99	731.34	FEE016
731.34	736.096	FEE016
737.248	737.888	FEE016
746.352	746.876	FEE016
749.639	750.81	FEE016
750.81	755.328	FEE016
768.48	769.024	FEE016
772.304	772.72	FEE016
775.552	775.872	FEE016
777.296	777.736	FEE016
778.928	783.26	FEE016
783.26	787.04	FEE016
787.04	792.52	FEE016
792.52	794.512	FEE016
803.776	805.952	FEE016
811.072	811.856	FEE016
821.333	822.52	FEE016
822.52	823.79	FEE016
823.79	828.176	FEE016
830.032	830.747	FEE016
833.2	834.052	FEE016
834.608	839.27	FEE016
839.27	842.48	FEE016
842.48	844.688	FEE016
872.176	872.64	FEE016
878.336	878.922	FEE016
895.376	895.979	FEE016
898.688	905.64	FEE016
905.64	912.407	FEE016
923.632	924.08	FEE016
930.704	931.532	FEE016
932.96	933.408	FEE016
934.332	935.18	FEE016
935.18	940.12	FEE016
940.12	943.53	FEE016
943.53	947.76	FEE016
951.04	951.44	FEE016
954.896	955.41	FEE016
956.752	958.64	FEE016
959.461	963.7	FEE016
963.7	966.35	FEE016
966.35	969.16	FEE016
969.16	972.45	FEE016
1004.98	1006.02	FEE016
1006.66	1007.57	FEE016
1008.78	1011.34	FEE016
1013.68	1018.62	FEE016
1018.62	1021.36	FEE016
1021.36	1022.1	FEE016
1022.1	1024.51	FEE016
1032.9	1033.5	FEE016
1037.07	1038.08	FEE016
1042	1042.82	FEE016
1046.4	1048.29	FEE016
1048.29	1048.58	FEE016
315.696	317.696	MEE014
353.461	355.754	MEE014
356.773	357.433	MEE014
359.088	361.74	MEE014
361.74	364.48	MEE014
364.48	367.697	MEE014
371.376	375.525	MEE014
